epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,16215.5,1.72502,1.82541,0.02804,0.5584,0.56721,0.54375,0.19246,2.05396,1.6847,0.04512,0.0011882,0.0011882,0.0011882
43,16596.2,1.69322,1.89225,0.02767,0.49675,0.50487,0.46446,0.17158,2.11991,1.85886,0.04713,0.0011684,0.0011684,0.0011684
44,16977.1,1.69428,1.90947,0.02724,0.60061,0.48852,0.57189,0.21779,2.00901,1.65148,0.04406,0.0011486,0.0011486,0.0011486
45,17365.4,1.67652,1.81942,0.02694,0.4857,0.49836,0.485,0.18936,2.00423,1.7425,0.04489,0.0011288,0.0011288,0.0011288
46,17746.4,1.66137,1.80167,0.02665,0.52813,0.5377,0.5334,0.2015,2.01709,1.63429,0.04467,0.001109,0.001109,0.001109
47,18124.3,1.70129,1.80276,0.02756,0.54314,0.53115,0.55594,0.18898,2.0826,1.74973,0.04568,0.0010892,0.0010892,0.0010892
48,18505.1,1.66742,1.85099,0.0263,0.54477,0.57377,0.5472,0.20055,2.07556,1.65657,0.046,0.0010694,0.0010694,0.0010694
49,18886.2,1.67386,1.83831,0.02625,0.60744,0.51803,0.54139,0.19892,2.04262,1.68627,0.04544,0.0010496,0.0010496,0.0010496
50,19266.9,1.66623,1.80713,0.02688,0.49671,0.55657,0.48085,0.18685,2.02264,1.79747,0.04525,0.0010298,0.0010298,0.0010298
51,19647.4,1.67866,1.76722,0.02662,0.58619,0.51803,0.54408,0.199,2.04866,1.64632,0.04619,0.00101,0.00101,0.00101
52,20027.9,1.68372,1.73793,0.02687,0.53162,0.52098,0.50117,0.18067,2.01089,1.75303,0.04403,0.0009902,0.0009902,0.0009902
53,20409.1,1.71364,1.76644,0.02717,0.58335,0.55546,0.52085,0.19186,2.04936,1.66422,0.04545,0.0009704,0.0009704,0.0009704
54,20789.9,1.66543,1.77616,0.02607,0.61685,0.56393,0.59522,0.2174,2.01295,1.67561,0.04457,0.0009506,0.0009506,0.0009506
